duration,src_bytes,dst_bytes,count,srv_count,protocol,flag,attack
0.2206,9,305,32,17,0,0,0
0.168,118,272,207,11,1,0,1
0.0405,4203,3794,27,5,1,0,0
0.4193,74,80,68,13,0,0,0
0.1908,2076,40,59,54,1,0,1
0.657,8,2260,60,16,0,1,0
0.1365,41,3163,5,22,0,0,0
0.0429,1019,11824,62,20,0,0,0
0.8427,45,167,54,18,1,0,1
0.7087,587,188,8,26,0,2,0
0.1601,971,129,65,11,0,0,0
0.8593,521,348,81,52,2,1,1
0.2243,87,31,175,38,1,2,1
0.0679,8236,15627,4,5,0,1,0
0.8638,422,6,42,16,0,2,0
0.3929,27,85,71,26,2,1,0
0.1685,22,119,24,33,0,0,0
0.3343,124,35254,20,6,2,1,1
0.7107,529,37,21,32,0,2,0
1.0876,50,49,33,7,0,0,0
1.0422,476,1043,52,18,0,1,0
0.3076,2503,243,295,54,0,0,1
0.2694,23410,2166,120,53,1,0,1
0.2467,1974,252,233,19,1,2,1
0.4,1755,351,32,22,1,2,1
0.8745,55,1897,44,19,1,2,0
0.0329,12488,579,150,38,1,1,1
0.1456,435,136,15,26,0,0,0
0.0773,26,1,136,58,0,1,1
0.7125,95,80,240,22,1,0,1
0.2869,410,2454,60,10,0,2,0
0.2361,3713,4,255,60,0,1,1
0.0659,25,95,30,14,0,2,0
0.2948,127,401,35,13,0,0,0
1.0331,294,87,59,22,1,0,0
0.1362,1773,10572,25,28,1,0,0
2.0139,0,251,61,17,0,1,0
0.2893,1478,8064,34,2,0,0,0
0.0702,100,91,2,14,2,0,0
0.8227,532,908,47,33,0,0,0
0.3853,286,7778,256,7,1,0,1
0.0798,1908,1592,27,32,0,3,0
0.1836,45,605,17,25,1,1,0
0.3588,882,176,154,15,0,1,1
0.2672,62075,74,155,23,1,0,1
0.8388,3712,68,47,3,0,0,0
0.0834,468810,1791,10,2,0,0,0
1.1142,161,62,25,10,0,0,0
0.0189,7814631,107,246,38,1,1,1
1.2308,1366,544,63,13,1,1,0
0.0694,1162,1,201,33,1,0,1
0.5487,634,2391,17,22,0,1,0
0.5515,2539,60,87,39,1,1,1
0.6114,304,13,156,59,2,1,1
0.0333,91,660,13,14,0,1,0
0.0012,343,1285,42,1,0,3,0
0.5406,6339,51203,8,33,2,0,0
0.147,529,662,199,68,1,0,1
0.1772,266,3910,69,17,1,0,0
0.0607,1601,7628,1,20,0,0,0
0.1087,464,186,48,20,0,1,0
0.111,1329,610,9,3,1,1,1
0.0452,36,7381,43,16,0,0,0
0.0526,74,175,37,33,0,1,0
0.6094,388,169,201,67,1,0,1
0.0391,659,92,155,33,1,2,1
0.116,3,333,74,9,0,0,0
0.3412,33492,778,198,49,0,2,1
0.6791,4767,1636,76,20,0,0,0
0.0,1976,4904,295,59,1,1,1
1.1807,19,40,26,22,0,0,0
0.2337,890,27741,14,11,2,3,0
0.6216,34,41,55,17,1,0,0
0.0461,1125,434,25,2,0,0,0
0.7318,250,5476,66,24,0,1,1
0.4461,45,7924,46,11,0,0,0
0.0305,2727,13868,66,34,2,0,0
0.0143,2726,537,42,4,0,1,0
0.5395,5837,766,21,22,2,1,0
1.1527,870,240,8,7,0,0,0
0.2021,18,679,68,1,0,1,0
0.5682,599,1,50,27,1,0,0
0.6108,3226,345,74,18,2,2,0
0.35,444,641,43,14,1,2,0
0.2165,778,22,42,27,0,1,0
0.7646,281,2375,52,5,0,2,0
0.5869,3962,0,290,60,0,1,1
0.4272,217,104,120,37,0,1,1
0.5965,1056,24,79,29,0,0,0
0.3903,22,3146,50,8,0,2,0
0.161,83,513,5,2,2,1,0
0.3275,437,3,174,29,0,3,1
0.0619,275,70301,10,4,1,0,1
0.1287,432,178,18,27,2,1,0
0.3312,176,292,75,10,2,2,0
0.3732,18384,834,4,28,0,2,0
1.6608,294,86,26,19,0,1,0
0.0136,165,341,47,6,1,2,0
0.0152,497684,23,52,27,1,0,1
0.1385,8,383,60,22,0,2,1
0.1233,95,1842,28,4,1,0,0
0.5716,11,39,26,21,1,0,0
0.2592,795,8,285,7,1,1,1
0.1511,6627,8869,34,28,0,0,0
0.1145,119,1671,41,33,0,0,0
0.1386,7478,54,133,63,0,1,1
1.4595,97,328,54,34,0,0,0
0.057,119,42130,79,29,0,2,0
0.3035,1848,15,50,19,0,2,0
0.3625,21,22,38,6,1,1,0
0.3227,1033,292,50,23,2,0,0
1.0337,8785,243,6,33,0,0,0
0.1276,160,3245,59,28,0,0,0
0.0249,200,133,215,14,2,0,1
0.8053,2713,31,127,36,1,1,1
0.3404,162887,535,145,15,2,0,1
0.092,1359,34,50,63,0,2,1
0.074,4015,16,5,22,1,2,0
0.0473,20,102,27,23,0,0,0
0.3686,4588,1128,195,43,0,1,1
0.5932,2336,0,260,64,0,2,1
1.5412,260,1048,31,22,1,0,0
0.3852,282,4671,21,6,0,1,0
0.3235,63,306,232,68,1,1,1
0.0031,1159,3147,40,12,0,1,0
0.0777,5555,454,137,12,2,2,1
0.16,471,5290,23,23,0,0,0
0.6312,111,92166,31,28,1,2,0
0.3616,121,133617,30,30,0,0,0
0.222,30,924,52,27,1,1,0
0.0597,927,10,46,18,1,1,0
0.2364,1012,294,72,26,0,2,0
0.0455,138,416,11,25,0,0,0
0.2671,14,3328,9,2,1,2,0
0.4759,5656,65,88,52,0,2,1
0.1803,77,165,122,53,0,1,1
0.3172,442,4,79,31,0,2,0
0.1122,85652,91,249,57,1,2,1
0.0738,94209,21,32,58,0,2,1
0.3158,84,6101,1,9,0,1,0
0.0406,936,173,68,18,0,0,0
0.0055,389,756,56,4,2,3,0
0.226,1743,129,138,35,0,1,1
0.6405,424,8461,134,24,1,0,1
0.4571,449,125,26,21,0,2,0
0.0342,3599,124,119,28,1,1,1
0.0753,5163,280,23,32,0,1,0
0.8048,729,10782,63,31,0,1,0
0.2988,1592,316,74,2,0,3,0
0.0293,54,3,34,11,1,0,1
0.7284,80,32189,7,24,0,0,0
0.0484,3367,404,297,58,1,2,1
0.6585,995,3748,50,12,2,0,0
0.1829,522,133,93,28,1,1,1
0.0365,26,1171,75,5,2,0,0
1.3087,2765,4465,36,59,0,2,1
0.4342,996,464,77,8,0,0,0
0.348,449,22050,32,31,1,1,0
0.6957,139,2902,40,9,0,0,0
0.2028,4792,3077,16,16,0,0,0
0.5863,54,2562,51,17,1,0,0
0.2333,34294,137,46,8,0,2,1
0.4364,431,5799,69,17,0,1,0
0.1764,802,1282,69,2,2,0,0
0.1588,19771,4971,18,24,0,0,0
0.2132,3706,216,41,19,0,0,0
0.7425,181,410,2,14,0,2,0
0.2789,2702,7998,73,34,1,0,0
0.1333,911,97,291,32,1,2,1
0.373,341,214,55,17,1,2,0
0.012,26596,111,261,21,2,2,1
0.4139,25,6,3,26,0,3,0
0.0617,465,51,142,41,0,1,1
0.0898,1815,815,61,16,0,0,0
0.0368,490,705,40,25,1,0,0
0.1772,1342,1642,207,65,0,0,1
0.4394,27604,155,152,44,2,1,1
0.112,4559,10,133,68,1,3,1
0.219,1548,43810,54,25,1,0,0
0.1131,2798,95,99,53,2,0,1
0.3256,1390,336,59,19,2,0,0
0.4776,1933,96,133,5,1,2,1
0.142,9,808,15,31,0,3,0
0.1158,148,2167,34,33,0,2,0
0.3825,800,0,52,21,0,0,0
0.1048,1869,19,66,13,0,1,0
0.6802,64182,124,86,35,0,1,1
0.3201,2713,11571,66,5,1,1,0
0.285,28,38844,39,7,0,2,0
0.2114,51,198,63,25,2,0,0
0.1718,37913,1034,8,21,1,3,0
0.0019,90,573,55,4,0,2,0
0.1476,10641,17856,35,18,0,3,0
1.2998,54,32,52,25,0,0,0
0.7668,100,1390,62,10,1,2,0
1.2198,2233,104,29,4,1,2,0
1.0128,950,1082,3,17,2,0,0
0.1033,9512,3025,168,54,1,1,1
0.2625,4718,355,63,33,0,0,0
0.0358,303,8,80,22,1,2,1
0.2139,281,1162,38,26,0,0,1
0.2739,1094759,32,103,58,0,0,1
0.2311,1611,40,16,27,2,2,0
0.1336,1845,72,186,67,1,2,1
0.1005,387,111,93,8,0,1,1
0.1576,69,117,77,30,0,0,0
0.0741,10,915,186,54,1,1,1
0.6491,32,21,77,8,1,0,0
0.0826,543,15,46,33,0,0,0
0.6834,232,295,16,21,0,0,0
0.8347,11,1968,32,25,0,0,0
0.3205,4861,1617,51,27,0,0,0
0.5882,30832,7152,89,14,1,1,1
0.6732,2574,344,182,20,1,1,1
0.6247,14,285,8,8,0,2,0
0.3723,6297,1501,11,6,2,0,0
2.4057,295,4140,73,8,1,1,0
1.3149,109,619,16,9,1,3,0
0.294,1772,16928,293,40,1,2,1
0.2423,102,945,79,9,2,2,0
0.0599,25761,2467,65,28,2,0,0
1.2112,652,146,149,16,0,0,1
1.2531,47,203,61,2,0,0,0
0.1355,468,1489,46,3,0,0,0
0.4094,58,136771,7,16,0,0,0
0.522,143,39471,8,6,0,2,0
0.2922,1407,2106,20,20,1,0,0
0.0737,4362,37,61,23,1,0,0
0.2973,353,1123,8,13,0,0,0
0.4553,7,3,223,57,0,0,1
0.0749,94,126,262,42,0,1,1
0.5985,79,384,11,26,0,2,0
0.201,1012,16,134,43,1,2,1
0.4605,2901,942,62,29,0,0,1
0.6158,2721,381,30,13,1,1,0
0.3198,97,1683,39,19,0,0,0
0.4293,6596,514,297,49,2,0,1
0.277,77,53,154,61,0,1,1
0.632,240,287,44,29,1,1,0
0.3211,1862,109,247,55,1,2,1
0.1027,2817,3427,32,28,0,1,0
0.5746,2168,1763,261,37,1,2,1
3.1193,86,7937,33,9,0,0,0
0.0711,452,9667,16,34,1,1,1
0.8224,378,5108,60,12,0,0,0
0.0614,386,91,9,18,0,1,0
0.154,974,7,89,21,0,0,1
0.1808,1060,8259,196,60,0,2,1
0.4442,7,1441,64,18,0,0,0
0.9188,1892219,4613,131,30,1,2,1
1.5151,40,43640,51,13,0,0,0
0.4681,414,1152,66,21,0,0,0
0.6687,1650,109,35,34,1,0,0
0.0312,8267,787,108,28,0,0,1
0.1784,367,30,37,32,0,0,0
0.3389,199,64,79,45,1,1,1
0.0485,10586,2473,33,30,0,0,0
0.2161,7,26694,9,18,1,1,0
0.1931,143,57700,14,19,0,0,0
0.6376,41,17555,35,14,1,0,0
0.0071,2505,304,202,59,0,2,1
0.5078,79,8710,5,32,0,0,0
1.1573,3430,2168,57,9,1,0,0
0.1938,5,17,31,19,0,2,0
0.2457,116,391,51,2,2,0,0
0.5663,59465,1253,8,31,0,3,0
0.4762,74009,2092,211,38,0,0,1
0.0503,96,4,157,39,0,1,1
0.5418,5946,129,126,63,1,0,1
1.0034,18,4446,36,23,2,0,0
0.0646,631,62,21,34,2,2,0
0.6988,71,215,5,10,0,3,0
0.3099,160,22,10,5,0,0,0
0.5898,32,209567,47,5,1,0,0
1.5535,467,361,9,23,0,3,1
0.4341,141,776,254,5,0,2,1
0.5347,1039,336,210,31,0,0,1
0.2078,9150,650,48,29,0,0,0
0.0172,10417,31649,3,31,2,1,0
0.4532,337,182765,17,4,0,3,0
0.0148,3,98,29,15,0,0,0
0.9761,34172,119007,50,1,0,0,0
0.1359,127,719,23,10,1,0,0
0.7789,414,4,49,12,1,0,0
0.3799,59,30,60,12,2,0,0
0.035,676,238,21,25,0,2,0
1.1515,78,764,52,2,1,0,0
0.3254,803,1049,49,10,1,0,0
0.6599,168,607,24,16,0,0,0
0.0427,55,7,48,24,1,3,0
0.3722,38,2312,51,23,0,1,0
0.1103,5215,110,272,15,1,1,1
0.4832,104,119,117,26,1,0,1
0.546,358,990,78,20,0,0,0
0.5915,4195,1830,59,11,0,0,0
0.027,615,140,185,10,1,2,1
0.2246,54,1377,21,11,0,1,0
1.4017,68,200,19,12,0,0,0
0.6979,16,0,147,42,1,1,1
0.1144,21,301,12,27,0,1,0
0.1355,29,14727,72,4,0,0,1
0.6628,8,11019,76,32,0,0,0
0.2826,7807,3154,168,26,1,2,1
0.4003,4840,3037,49,33,0,0,0
0.1479,319381,295,92,54,0,3,1
1.4451,12,234,39,15,0,1,0
0.2356,53,232,79,8,1,0,0
0.2482,85,1340,66,6,0,0,0
0.7602,467,20347,37,29,0,1,0
0.012,3019,234,84,49,1,2,1
0.2221,420,2261,28,17,0,0,0
0.1042,262,4303,3,29,0,1,0
0.0834,9260,47,149,14,0,0,1
0.5385,639,111,7,28,0,2,0
0.3034,135,651,19,11,0,1,0
2.3659,16063,4288,60,20,0,0,0
0.009,7122,29,26,34,1,2,0
1.5522,6701,114,216,22,1,0,1
0.3125,57,703,297,60,1,1,1
1.5044,110,394,32,34,1,0,0
1.6689,0,247,59,19,1,0,0
0.4552,235,1139,20,11,1,0,0
0.4983,8544,7202,66,6,1,0,0
0.7247,2340,13,134,21,0,2,1
0.0602,6275,45,35,34,0,2,0
0.0465,1412,126,46,33,0,2,0
0.0385,4146,45957,52,11,0,0,0
0.1487,406,6,29,19,0,2,0
0.7976,1122,192,22,17,0,0,0
0.6956,7585,53,206,38,1,2,1
0.0606,503,87,68,58,0,1,1
0.1953,395,1557,241,19,1,1,1
0.4906,725,116,89,47,0,1,1
0.1744,1143,659,6,20,0,0,0
0.6003,17526,18,28,22,0,0,0
0.313,442,78317,66,32,1,0,0
0.0769,92,3206,33,28,1,2,0
0.5012,13863,178,142,18,1,2,1
0.6215,2066,3596,16,11,2,2,0
0.0325,5372,183,143,18,1,0,1
0.2843,87,24,21,9,2,0,0
1.3832,327,1260,49,32,0,0,0
0.3117,1393,1222,76,33,0,2,0
1.3909,6696,701,49,6,0,0,0
0.3185,4620,67,12,13,2,0,0
0.103,35,3447,74,32,0,0,0
0.1272,366,18731,60,20,0,2,0
0.1356,1113,1472,61,33,0,0,1
0.2174,39,41,159,46,0,1,1
0.2251,899,9999,74,2,0,0,1
0.1422,4545,168,11,7,0,0,0
0.0755,2250072,6634,211,48,2,2,1
0.7848,349,8,69,16,2,2,0
0.0162,9285,543,56,8,1,0,0
0.8943,6629,1209,8,3,0,0,0
0.1724,214,126,16,24,1,0,0
0.0412,432,86,58,31,0,0,0
0.1303,14423,298,106,19,0,2,1
0.0855,18199,242,42,9,0,0,0
0.2529,4917,192,171,26,1,1,1
0.0552,518,165,39,23,1,0,0
0.2868,284,82653,22,34,1,1,0
0.1933,201,97,55,34,2,0,0
0.2921,6519,72,208,5,2,2,1
0.3083,26,32,176,30,1,0,1
0.6092,123879,170,291,24,1,1,1
0.3433,1421,129585,247,47,0,2,1
0.6093,9,27646,15,2,0,0,0
0.5206,1,279,61,33,1,0,0
0.0396,4715,191,18,3,2,0,0
0.2134,251,157,67,34,0,0,0
0.3687,334,4,36,12,0,0,0
0.0611,16607,649,49,8,1,0,0
2.0776,96,63,22,3,0,0,0
0.2751,151,258,43,3,0,0,0
0.3432,71,196,5,27,0,2,0
0.1294,7832,231,96,15,2,2,1
0.8227,7376,68,11,20,1,0,0
0.119,2333,1019,47,29,0,0,0
0.503,10057,3057,75,23,0,1,0
0.567,6761,3013,7,32,0,0,0
0.9635,29,2064,12,13,0,1,0
0.165,84156,846,56,30,0,1,0
0.5923,116,2484,66,10,0,0,0
0.8528,1576,7022,36,18,0,0,0
1.1435,2870,379,71,33,1,0,0
0.7051,916,139,88,53,0,1,1
0.01,53519,7936,265,6,0,3,1
0.179,688,268,72,26,0,0,0
0.0583,5,15251,51,18,0,3,0
2.6549,443,328,7,19,2,0,0
0.1406,8346,175,216,30,0,0,1
0.3545,219,11242,28,27,0,2,0
1.4067,80,26,173,66,0,3,1
0.2835,111,213,33,18,0,0,0
0.4592,408,2692,65,20,1,0,0
0.2675,389,9,48,14,0,0,0
0.0937,2672,7064,6,33,1,2,0
0.0273,4773,1874,77,6,0,0,0
0.1621,19557,0,200,25,0,0,1
0.4029,25430,332,215,25,1,1,1
0.1253,276,44707,37,1,0,0,0
0.0552,737,92,7,9,0,1,0
0.4042,5722,114,68,31,1,0,0
0.0416,5361,2,139,32,1,1,1
0.7514,422,57,68,8,0,0,0
0.0131,246,432,298,20,0,0,1
0.4229,74,2353,182,53,0,3,1
0.277,11,159,54,27,0,0,0
0.0195,73,5084,77,34,0,2,0
0.2501,18,1664,196,35,1,3,1
0.3099,309,483,31,21,2,0,1
0.2161,1993,44,5,15,0,0,0
0.5283,2576,60,51,31,0,1,1
0.0489,349,1524,41,20,1,0,0
0.007,60439,47,58,44,1,2,1
0.4988,189,31,78,1,0,3,0
0.3377,15221,30,183,26,0,3,1
0.5452,360,4754,15,32,1,0,0
0.2507,32,7601,16,32,2,2,0
0.1909,3512,30,75,31,0,0,1
0.5484,1,14730,62,6,0,0,0
0.1788,88,50770,14,13,0,2,0
0.3094,2,2670,65,12,1,1,0
0.5943,1237,6837,20,4,1,0,0
0.3769,240,829,77,17,0,2,0
0.6018,140,449,71,13,1,0,0
0.1578,20,80,62,20,0,0,0
0.2204,143,365,72,31,0,0,0
0.368,362,7891,46,18,1,0,0
0.214,9608,309,48,17,1,0,0
0.303,199,2447,1,10,0,0,0
0.1958,89,73,292,38,1,3,1
0.2619,1685,445,23,12,0,3,0
0.332,236,72,56,21,1,0,0
0.3801,1654,67,37,34,0,1,0
0.555,3510,164,79,29,0,2,1
1.71,1947,536,72,9,1,1,0
0.4987,1012,961,62,27,1,0,0
0.0474,9763,1417,245,15,0,1,1
0.6197,97426,193,4,25,1,0,0
0.1853,3563,2003,64,3,0,0,0
0.1294,5564,557,161,41,0,1,1
0.1687,832,19587,289,7,1,2,1
0.1628,191,3769,63,66,2,1,1
2.317,1432,6884,42,23,0,2,0
2.3656,59,4742,79,6,1,0,0
0.0482,559,942,43,15,1,2,1
0.278,25646,193,5,32,0,0,0
0.0667,16958,94,50,52,0,1,1
0.2145,154,5658,58,14,0,0,0
0.033,2230,35,63,22,0,3,0
0.3362,13257,6953,64,5,0,2,0
0.2745,3605,197,195,27,0,2,1
0.1217,1636,12,77,36,1,0,1
0.9275,4017,1,200,6,0,2,1
0.5007,142,99,3,11,1,1,0
0.1216,140,8659,20,29,1,0,0
0.0432,8545,49,177,22,0,1,1
0.1398,349,13,53,32,0,0,0
0.3838,3800,817238,22,12,2,2,0
0.2667,385,53,54,34,0,0,0
0.2192,201,7524,52,55,0,1,1
1.0422,2182,325,21,11,1,0,0
0.0406,7461,1604,54,12,2,2,0
0.3201,176,2010,32,16,0,0,0
0.3752,209,55,2,33,0,0,0
0.7673,126,446,56,10,0,0,0
1.5457,108,2801,5,29,1,0,0
0.1225,55,473,226,56,0,0,1
0.6552,36,2452,33,28,0,1,0
0.0913,506,12,209,37,1,0,1
0.1119,5668,9,267,13,0,2,1
0.2469,1615,1275744,44,24,0,0,0
0.4147,4920,112,23,33,0,3,1
0.1989,1215,14686,27,30,0,0,0
0.3568,2854,36,113,54,1,1,1
0.0231,4530,255,28,26,1,0,0
0.0144,43,923,9,17,0,0,0
0.5017,7226,148,263,38,1,1,1
1.0511,128,374,37,3,0,0,0
0.1271,1843,2247,37,29,0,2,0
0.7758,7,28,40,7,0,0,0
1.369,108,762,99,69,0,0,1
0.5913,687,63,297,38,1,1,1
0.0286,5982,258,29,24,1,0,0
0.3869,911,2091,21,32,0,0,0
0.5626,65,623,2,11,2,3,0
0.0885,353,888,9,18,0,3,0
0.0779,7631,62,35,5,1,0,0
0.6465,3,1186,69,25,1,2,0
0.0556,362108,8139,93,42,1,0,1
0.2417,126,642,7,2,2,3,0
1.6864,41511,107,78,2,2,1,0
0.4353,4443,3806,4,30,0,0,0
0.3057,69,11,6,32,1,0,0
0.5195,119687,1094,166,58,0,3,1
0.3887,3102,1501,20,1,1,2,0
0.4423,12039,11,294,67,0,2,1
0.5543,928,927,15,10,1,3,0
0.1213,708,106,204,55,0,1,1
0.7936,17260,296,61,17,1,1,0
0.1952,1762,41,222,35,0,1,1
0.4855,1141,62,39,32,0,0,0
0.1577,827,0,174,61,1,0,1
0.1115,479,17,49,22,0,0,0
0.8007,95,182,28,4,0,0,0
0.1,13398,544,65,9,0,0,0
0.2532,4833,1649,70,26,0,0,0
0.681,498,5,266,36,1,1,1
0.1788,596,1464,42,30,0,0,0
0.925,1456,3260,9,19,1,2,0
0.3311,8,16,56,21,1,2,0
0.3186,6112,49,36,21,1,0,0
0.2,48,2676,9,5,0,0,0
0.6446,2142,23691,72,33,1,0,0
0.7807,151,16606,55,7,0,0,0
0.6574,171,3932,11,23,1,0,0
0.3498,1777,29,12,17,0,2,0
0.2913,1090,93759,67,24,1,0,0
0.6242,240,3316,28,12,1,1,0
0.1115,516,126,35,26,0,1,1
0.0353,19877,71,70,31,0,1,0
1.0232,32,1143,3,9,2,1,0
0.4143,1606,26,36,2,1,2,0
0.7285,10900,531,60,11,0,0,0
0.3684,12,1775,16,18,1,0,0
0.2176,422,25,50,8,1,0,0
0.0431,400,6764,3,2,0,0,0
0.7738,201,19753,53,32,0,0,1
0.6513,280,22,3,1,0,3,0
0.6754,28007,7078,44,3,0,0,0
0.0466,1976,518,36,32,0,1,0
0.4269,1,1072,4,6,0,0,0
0.0764,1959,110,15,12,0,0,0
0.4475,299,500,70,24,0,2,0
0.1724,1663,2137,41,10,0,1,0
0.0049,208,80,9,4,2,3,0
0.1144,92,97,60,18,2,0,0
0.0365,23187,84,273,54,0,2,1
0.4862,3572,253807,25,8,0,0,0
0.1083,8,184,214,54,1,2,1
0.5132,1480,228,14,26,0,1,0
0.5531,1,507,61,28,1,0,0
0.3296,152,207,19,11,0,1,0
0.021,91,15,65,10,2,0,0
0.4848,2350,749,259,34,0,1,1
0.5079,10,10922,15,20,0,0,1
0.0346,101,5203,19,1,0,1,0
0.0037,117,16,72,4,1,0,0
0.0846,66,24,253,10,0,2,1
0.3895,52,425,66,8,0,0,0
0.243,41,3001,25,22,1,0,0
1.0213,174,163,46,1,2,0,0
