air_temp,process_temp,rotational_speed,torque,tool_wear,failure
300.79,312.1,1337.0,43.37,67.3,0
298.17,307.56,1534.1,66.3,211.5,0
300.37,308.48,1836.1,42.95,92.4,0
304.71,314.68,1329.2,38.4,210.6,0
297.33,305.94,1404.6,30.8,83.1,0
299.41,310.74,1180.7,69.39,163.8,1
300.63,310.84,1379.0,28.88,50.1,0
298.45,308.87,1330.2,28.1,124.1,0
300.51,311.11,1541.2,24.93,184.6,0
303.22,310.51,1284.9,36.06,59.8,0
300.37,312.1,1611.2,44.34,18.1,0
301.02,312.44,1419.3,38.28,48.2,0
300.86,312.1,1832.0,30.8,216.9,0
299.68,309.81,1547.9,56.02,23.0,0
298.07,308.49,1415.3,43.23,191.8,0
303.09,313.3,1558.1,54.41,109.9,0
300.81,311.07,1562.8,15.26,19.8,0
300.39,309.63,1390.6,36.16,195.4,0
302.93,314.38,1429.3,36.65,123.0,0
299.51,312.05,1656.9,48.88,158.1,0
299.08,309.65,1495.3,30.92,210.7,0
300.22,310.88,1441.5,31.32,83.0,0
304.84,314.93,1564.8,42.85,79.8,0
297.83,308.57,1545.0,49.77,175.5,0
299.74,309.97,1355.6,28.32,90.8,0
299.73,309.78,1513.8,53.7,55.9,0
302.41,313.56,1432.4,29.33,149.4,0
304.07,314.36,1398.3,36.17,60.0,0
299.95,307.52,1420.5,41.24,27.9,0
299.49,311.14,1595.2,57.6,3.7,0
299.9,309.49,1539.2,44.69,68.2,0
300.35,311.25,1456.7,33.16,65.2,1
298.85,308.34,1384.6,47.3,86.9,0
297.83,307.62,1339.7,54.03,68.6,0
300.32,310.31,1463.9,53.34,33.0,0
303.11,315.34,1144.6,55.52,165.3,1
301.17,310.77,1564.5,33.45,205.3,0
299.97,309.98,1499.1,31.78,8.6,0
303.7,314.17,1656.8,26.42,50.0,0
302.38,313.62,1570.6,49.39,75.5,0
297.64,307.4,1357.7,41.17,111.1,0
298.93,308.48,1449.7,48.42,159.1,0
299.69,308.49,1536.4,52.1,51.4,0
301.08,311.97,1438.3,30.75,127.5,0
301.74,310.51,1376.1,43.85,59.9,0
299.62,310.1,1373.4,31.9,6.3,0
300.18,307.65,1601.5,52.14,2.1,0
297.7,307.45,1280.9,19.82,46.0,0
300.5,310.24,1552.7,45.03,169.4,0
300.43,310.02,1510.2,31.58,186.1,1
300.76,311.97,1487.1,50.59,34.8,0
303.87,312.88,1437.8,47.78,175.8,0
298.76,308.72,1583.0,55.05,83.6,0
296.21,305.05,1810.9,60.66,39.3,0
299.95,310.96,1333.7,69.07,229.8,1
301.0,312.38,1402.1,45.18,168.1,0
298.78,308.66,1581.3,53.25,181.8,0
299.84,311.29,1341.8,43.01,202.7,0
300.11,309.02,1248.4,43.83,157.6,0
298.08,307.58,1587.5,54.28,81.9,0
299.59,309.25,1439.5,16.53,85.9,0
300.41,309.53,1456.2,55.92,219.9,0
299.48,309.12,1653.4,48.5,210.4,0
300.34,309.15,1529.0,50.07,108.3,0
299.09,307.83,1485.5,45.42,156.8,0
297.91,306.95,1557.0,34.58,173.6,0
297.63,307.91,1633.6,40.48,121.3,0
299.66,308.89,1470.4,37.13,139.7,0
294.84,307.91,898.2,59.36,215.1,1
300.86,311.81,1479.0,42.84,89.5,0
298.73,308.44,1373.6,47.38,66.1,0
299.47,310.51,1577.3,37.03,68.9,0
296.87,307.09,1461.6,59.81,13.6,0
298.39,306.75,1565.2,22.95,183.5,0
296.77,306.14,1474.8,57.85,108.1,0
297.26,306.79,1792.4,31.96,216.5,0
299.43,309.37,1529.3,49.47,19.1,0
295.31,305.73,1566.3,38.61,2.0,0
297.5,306.76,1502.6,24.83,174.6,0
299.01,307.92,1301.4,65.24,70.3,0
300.39,312.1,1224.9,47.33,159.0,1
299.19,309.03,1453.0,39.66,210.5,0
300.66,310.45,1595.2,35.28,202.1,0
302.47,312.83,1436.2,58.66,76.5,1
296.45,306.01,1517.6,54.04,134.6,0
300.48,310.51,1472.7,37.77,9.5,0
300.51,313.22,1251.2,71.01,244.8,1
301.31,311.24,1461.9,26.31,105.2,0
301.48,310.11,1331.4,68.25,76.9,0
303.56,312.59,1557.0,44.51,93.8,1
300.48,310.94,1581.3,48.43,65.5,0
301.66,313.74,1569.0,47.09,44.3,0
302.59,313.28,1599.6,61.44,126.6,0
298.93,309.01,1543.0,39.89,11.4,0
307.78,318.15,1195.7,49.14,235.1,1
300.51,310.26,1391.9,40.2,209.4,0
297.09,306.04,1565.0,38.29,31.5,0
299.22,309.8,1396.6,38.48,204.1,0
297.82,306.27,1498.0,41.79,183.1,0
301.61,311.16,1393.0,42.2,1.8,0
299.53,310.58,1395.0,41.81,17.4,0
300.91,312.6,1392.0,37.44,145.8,0
298.7,309.16,1472.4,37.71,161.5,0
302.02,313.68,1604.5,36.71,201.4,0
299.53,309.97,1783.2,32.31,48.5,0
300.32,309.92,1712.3,53.36,132.5,0
301.99,310.26,1496.0,57.31,177.5,0
300.3,306.81,1335.9,55.76,243.2,1
301.02,312.91,1577.2,44.11,161.5,0
297.51,306.79,1601.0,19.47,57.1,0
300.59,310.86,1382.4,37.57,65.7,0
301.72,311.55,1485.7,26.79,42.8,0
299.21,308.84,1475.3,36.47,113.7,0
301.97,312.35,1428.6,48.12,147.0,0
300.07,311.76,1433.4,69.83,188.1,0
297.04,307.56,1749.4,55.52,155.4,0
298.74,311.32,1381.2,27.0,78.9,0
301.4,315.36,1166.9,37.2,238.9,1
300.16,308.84,1674.5,37.84,74.6,0
300.34,312.12,1389.4,42.43,122.5,0
299.93,308.92,1614.0,36.27,34.5,0
300.47,310.24,1676.6,32.67,181.5,0
295.29,307.2,1435.7,64.28,227.5,1
299.6,311.04,1643.9,44.48,148.7,0
300.2,309.53,1365.3,42.3,189.7,0
296.36,306.66,1642.4,27.9,139.1,0
299.25,309.92,1371.6,37.98,195.2,0
300.35,311.07,1653.7,35.76,188.8,0
299.75,311.76,1486.9,38.58,33.3,0
299.66,309.84,1667.0,40.72,127.6,0
298.52,308.78,1305.0,42.32,129.0,0
296.55,307.09,1488.5,28.96,215.6,0
297.5,306.55,1630.1,37.04,53.5,0
295.78,305.35,1387.8,46.84,59.9,0
302.62,312.43,1664.7,49.23,189.2,0
299.94,310.4,1510.1,50.07,158.0,0
300.2,312.33,1524.8,49.93,196.1,0
300.42,311.33,1722.2,49.71,32.3,0
300.97,310.84,1554.7,14.11,88.3,0
302.91,312.74,1061.5,56.05,170.2,1
300.58,310.32,1579.6,39.66,128.7,0
300.91,312.28,1413.1,43.31,65.4,0
297.74,308.39,1312.1,42.48,90.2,0
295.53,305.36,1416.4,41.3,17.8,0
301.05,311.11,1599.1,51.76,177.8,0
296.79,304.8,1633.8,23.12,96.6,0
299.76,310.79,1561.7,51.47,117.1,0
299.83,308.62,1523.5,34.48,179.1,1
301.82,311.25,1535.9,39.4,134.5,0
299.46,310.6,1477.0,32.26,137.4,0
299.37,308.88,1483.3,41.36,34.6,0
303.09,313.9,1615.0,39.03,11.3,0
301.79,310.71,1661.2,48.97,118.4,0
298.63,307.69,1330.9,16.04,163.5,0
300.58,311.44,1450.7,36.91,177.8,0
297.93,307.83,1522.0,49.12,88.3,0
303.87,314.54,1643.8,44.25,77.0,0
303.33,312.63,1333.4,20.06,199.8,0
299.25,309.07,1391.9,52.01,9.6,0
302.46,312.59,1434.7,31.85,23.0,0
301.11,311.91,1604.9,43.96,70.7,0
296.55,306.39,1488.1,31.47,152.1,0
302.11,312.92,1481.1,31.71,51.3,0
302.25,310.64,1327.2,51.58,245.0,1
304.77,315.61,1421.7,36.76,52.8,0
304.13,313.62,1378.7,55.81,180.6,1
297.31,308.59,1377.6,45.67,28.7,0
302.8,311.51,1509.4,34.46,171.9,1
298.47,306.56,1289.4,39.9,217.0,0
298.37,308.23,1566.7,61.03,47.4,0
300.1,311.03,1669.8,45.28,143.1,0
298.45,308.6,1702.0,44.2,25.6,0
298.82,308.53,1640.4,19.75,79.3,0
300.65,312.12,1434.1,40.93,147.7,0
301.62,310.39,1639.8,39.32,35.5,0
304.89,316.91,1354.7,25.61,43.0,0
298.19,307.82,1625.3,44.37,116.5,0
300.54,312.5,1452.6,30.13,170.1,0
301.1,311.72,1686.3,36.56,214.6,0
302.37,313.77,1330.9,40.0,213.5,0
299.88,308.62,1633.8,37.25,209.4,0
298.76,309.69,1492.1,28.09,74.4,0
299.84,308.88,1445.1,39.0,122.2,0
297.99,307.93,1359.6,18.22,53.8,0
303.64,315.08,1322.8,42.98,75.3,0
304.66,314.67,1564.4,12.25,104.2,0
298.32,308.81,1522.0,61.03,35.0,0
300.15,310.16,1499.8,43.37,144.4,0
299.94,310.48,1401.7,26.5,43.6,0
299.28,308.54,1495.0,54.89,99.0,0
298.06,306.91,1296.9,21.81,68.9,0
298.73,308.99,1525.3,41.87,28.0,0
303.0,313.88,1612.7,31.41,41.4,0
300.77,309.37,1214.1,43.95,86.1,0
299.59,308.73,1471.2,54.69,41.7,0
300.47,310.24,1362.5,33.19,183.1,0
296.81,308.03,1442.0,42.79,48.5,0
298.15,308.4,1517.5,38.11,211.6,0
298.84,309.34,1426.1,38.07,167.0,0
298.89,308.37,1182.9,23.25,179.0,0
300.08,309.57,1270.5,35.82,10.5,0
301.05,311.26,1541.5,47.42,181.3,0
297.45,306.31,1500.3,39.65,131.5,0
303.72,313.73,1608.8,34.08,164.8,0
300.92,313.06,1352.8,65.03,66.7,0
303.23,313.02,1462.8,47.9,168.1,0
298.94,305.53,1660.2,41.64,102.7,0
299.67,310.15,1517.4,48.48,147.5,0
298.74,309.08,1569.3,39.47,32.9,1
301.85,310.87,1465.3,41.35,139.2,0
300.65,310.31,1560.4,52.81,66.1,0
298.83,309.1,1350.1,15.94,34.5,0
300.58,312.38,1273.8,41.95,191.4,1
301.46,312.19,1471.9,37.92,15.1,0
301.02,309.72,1574.4,38.29,176.5,0
306.68,319.73,1206.5,42.74,166.6,1
300.73,310.54,1554.7,45.59,170.1,0
302.6,312.79,1481.2,28.75,85.4,0
299.62,308.9,1500.3,20.62,73.5,0
301.81,312.31,1618.8,28.98,108.3,0
299.56,308.29,1489.7,34.59,24.7,0
306.35,320.35,1123.2,45.56,233.1,1
296.01,306.61,1260.6,46.62,171.8,0
299.27,307.73,1616.5,18.26,66.3,0
302.09,311.74,1246.4,26.87,103.5,0
304.55,314.95,1421.0,33.16,164.6,0
303.83,312.61,1287.6,39.46,106.5,1
300.25,309.78,1481.2,29.64,174.1,0
300.08,309.76,1435.4,21.32,170.5,0
301.71,313.44,1628.1,43.63,0.3,0
299.83,307.73,1415.0,38.4,4.6,0
298.69,310.18,1583.5,54.13,166.1,0
297.88,308.03,1472.7,51.95,80.5,0
299.98,310.77,1646.2,34.84,163.8,0
299.12,309.86,1575.9,53.34,149.5,0
300.9,310.63,1473.5,10.22,163.4,1
299.0,308.74,1430.2,40.51,109.9,0
300.51,311.11,1670.9,48.15,128.8,0
303.06,311.05,1410.7,54.51,202.4,1
301.23,309.51,1656.3,35.03,100.9,0
299.18,310.04,1285.2,36.52,88.6,0
300.68,310.27,1430.6,39.9,136.0,0
303.07,313.55,1722.5,40.69,53.4,0
301.05,311.38,1540.2,43.18,172.5,0
300.6,308.87,1408.1,40.81,100.2,0
301.34,311.43,1760.4,39.88,81.5,0
297.65,307.38,1463.9,37.74,179.4,0
298.55,310.21,1425.6,55.3,70.9,0
296.92,308.05,1538.5,56.02,63.0,0
299.57,308.02,1245.8,51.18,181.7,1
302.08,312.49,1495.8,65.24,198.7,0
296.24,310.64,1403.1,77.11,170.1,1
297.65,306.7,1677.4,35.72,83.4,0
302.85,312.13,1725.2,55.32,171.2,0
300.47,310.38,1390.3,29.0,77.9,0
302.73,314.31,1555.0,39.64,161.7,0
299.43,309.67,1437.1,33.23,16.1,0
299.63,309.7,1509.8,10.05,190.8,0
295.1,305.65,1510.2,41.28,39.8,0
301.27,312.05,1539.2,31.67,203.4,0
301.5,314.11,1689.4,50.78,52.3,0
302.76,312.57,1564.2,40.11,111.6,0
300.29,311.5,1538.2,35.9,98.3,0
298.88,308.09,1528.3,26.62,148.4,0
300.2,310.14,1568.9,39.19,156.8,1
301.23,312.03,1388.0,36.11,156.2,0
299.06,310.58,1461.8,42.33,82.8,0
300.44,310.42,1632.9,52.08,8.5,0
303.76,313.05,1579.7,26.43,172.3,0
301.25,310.42,1451.4,37.25,76.1,0
300.42,310.18,1421.6,41.38,25.5,0
302.54,313.3,1417.0,21.74,175.0,0
301.49,310.48,1425.9,52.76,98.0,0
300.64,312.43,1600.1,30.24,4.7,0
302.04,312.27,1362.1,28.09,42.8,0
297.57,307.73,1347.0,64.82,197.9,1
297.63,304.98,1600.4,44.15,196.5,0
299.97,312.69,1550.3,52.96,151.9,1
299.95,309.86,1364.3,37.26,179.0,0
296.39,306.84,1333.4,20.75,22.6,0
299.69,310.29,1591.7,43.26,41.2,0
299.69,308.98,1650.4,58.91,96.2,0
297.54,307.98,1447.7,37.27,29.2,0
301.79,310.08,1621.1,59.69,72.6,1
299.18,310.01,1306.0,42.91,112.4,0
301.9,310.94,1392.0,32.03,216.0,0
298.18,308.15,1314.8,50.12,27.9,0
300.06,309.9,1557.0,49.3,212.4,0
300.02,309.27,1520.9,49.18,120.6,0
298.67,307.76,1580.0,47.28,25.1,0
299.87,309.95,1471.0,41.79,85.2,0
302.98,315.46,1699.6,51.02,90.8,0
297.07,307.46,1580.8,22.05,148.3,0
300.96,309.22,1446.2,33.71,85.7,0
297.25,308.43,1480.4,29.89,209.7,0
301.28,311.79,1467.9,28.5,17.7,0
301.02,311.52,1403.3,34.09,157.3,0
297.36,306.83,1436.5,45.85,126.8,0
304.84,312.86,1539.7,38.43,93.2,0
302.39,310.93,1471.4,45.27,186.3,0
300.08,309.28,1547.4,46.24,79.7,0
298.08,305.87,1591.6,27.67,43.9,0
299.62,310.62,1448.3,34.74,39.4,0
300.13,310.58,1728.6,41.5,87.3,0
299.53,311.07,1430.4,43.25,89.3,0
295.81,304.14,1489.1,44.27,186.1,1
302.0,312.59,1238.7,17.2,116.0,0
298.81,306.31,1473.9,36.72,126.5,0
307.86,318.83,1301.0,61.95,163.5,1
298.85,308.83,1461.1,20.67,73.5,0
301.42,310.62,1560.4,20.21,75.3,0
300.71,311.66,1541.9,28.93,131.1,0
302.84,314.39,1136.6,30.52,84.2,0
299.31,309.72,1659.7,42.59,34.2,0
301.59,314.72,1645.5,41.83,107.4,0
299.28,308.96,1419.1,35.43,123.7,0
295.36,305.35,1589.5,39.17,212.9,0
298.61,307.59,1552.5,18.26,28.6,0
301.75,312.94,1487.0,39.53,186.0,0
301.27,311.92,1524.4,40.54,167.2,0
302.93,312.69,1269.0,30.12,210.5,0
301.35,311.33,1415.2,50.4,149.0,0
299.44,309.07,1659.7,56.74,51.0,0
301.44,310.93,1725.8,31.36,215.1,0
296.78,307.51,1445.0,22.74,84.7,0
304.97,315.16,1478.6,33.69,221.4,1
300.8,309.88,1502.0,38.51,29.3,0
301.09,310.07,1453.4,18.35,128.7,1
298.44,310.61,1386.5,74.61,229.7,1
297.62,307.22,1455.0,32.91,69.1,0
300.94,311.29,1655.7,51.2,91.8,0
296.58,308.0,1419.5,41.29,79.6,0
304.18,314.06,1532.5,44.58,217.3,0
303.6,312.87,914.6,35.86,187.0,1
298.62,307.83,1680.3,38.66,5.9,0
303.07,314.08,1173.2,71.9,161.5,1
298.12,308.99,1459.5,48.52,38.3,0
304.36,315.86,1464.6,42.82,168.9,1
300.58,311.67,1688.9,25.36,123.9,0
303.65,313.75,1538.0,71.65,6.1,0
301.59,311.74,1598.6,33.4,95.1,0
302.1,312.42,1661.2,26.59,143.5,0
301.01,311.18,1499.8,47.01,110.1,0
299.55,310.46,1332.0,71.52,187.0,1
298.2,307.66,1759.8,-3.02,174.2,0
304.97,316.05,872.6,47.23,231.3,1
302.19,311.89,1569.6,42.08,48.0,0
302.38,312.97,1486.6,43.52,88.2,0
299.25,309.61,1646.4,30.26,177.1,0
303.78,314.09,1461.0,50.83,64.5,0
299.47,307.72,1259.5,29.77,171.0,0
298.92,308.53,1433.7,34.07,214.4,0
299.39,309.18,1536.1,45.64,159.2,0
296.47,308.42,1675.9,59.58,117.3,0
300.96,311.19,1556.1,44.63,69.4,0
302.48,314.66,1428.8,42.69,165.8,0
299.44,308.0,1202.9,53.12,82.5,0
297.64,307.73,1496.1,38.98,3.5,0
301.62,312.04,1484.9,54.66,102.1,0
301.3,311.07,1518.9,32.93,57.7,0
301.54,310.95,1789.9,36.61,146.6,0
300.98,310.43,1518.5,47.37,180.0,0
302.16,312.62,1412.1,57.73,125.5,0
302.79,314.13,1341.4,14.56,215.4,1
301.59,311.05,1555.1,58.43,68.5,0
301.27,310.12,1464.4,40.7,118.4,0
299.79,309.35,1489.6,34.5,110.9,0
300.18,308.34,1353.2,64.25,27.9,0
301.97,312.07,1557.7,35.65,91.6,0
300.92,310.87,1602.0,47.3,73.4,0
301.68,312.87,1395.1,43.9,197.1,0
301.64,312.19,1637.1,58.34,187.0,0
299.98,310.99,1451.3,15.92,216.6,0
303.19,312.59,1409.2,54.05,111.5,0
303.51,314.27,1434.9,14.9,46.7,0
295.48,305.41,1492.8,35.89,117.2,0
297.77,305.64,1686.9,60.75,158.3,0
301.15,309.77,1679.7,33.62,111.4,0
297.74,309.12,1694.2,37.44,112.8,0
295.21,304.98,1500.9,50.63,49.4,0
298.51,309.34,1734.6,39.9,25.1,1
302.27,312.15,1593.2,30.43,99.8,0
296.7,306.15,1469.2,48.05,203.8,0
296.87,306.77,1465.9,35.36,84.3,0
299.39,311.78,1371.5,26.5,3.7,0
302.32,312.52,1321.5,14.62,83.9,0
300.83,311.38,1459.6,45.72,2.2,1
298.09,309.43,1488.3,56.75,66.0,0
301.92,311.41,1516.2,16.4,191.3,0
300.44,311.58,1646.9,56.55,103.3,0
305.62,316.67,1383.6,55.92,17.7,0
299.14,310.52,1369.1,36.27,144.3,0
304.99,313.56,1453.9,68.35,45.2,0
300.28,311.71,1440.0,46.02,9.8,0
302.55,312.6,1512.9,56.59,216.0,0
299.49,309.67,1631.0,25.54,75.7,0
301.72,312.38,1305.9,41.88,167.5,0
298.95,310.33,1517.4,46.01,64.2,0
301.24,310.03,1637.1,66.31,87.4,1
302.13,312.35,1393.8,61.07,167.3,0
299.33,309.95,1493.0,38.49,155.2,0
296.87,306.81,1577.6,58.54,106.9,0
297.25,306.65,1635.9,21.66,121.3,0
300.53,310.94,1785.0,22.01,23.0,0
300.67,308.47,1498.2,29.93,112.4,0
299.18,309.53,1494.4,47.07,169.2,0
299.99,311.03,1281.4,68.15,194.4,0
298.49,307.6,1451.3,58.27,192.0,0
299.74,309.69,1371.4,37.19,116.9,1
293.87,302.68,1274.9,24.24,176.6,0
299.22,309.3,1607.4,43.04,133.1,0
298.43,307.52,1424.3,52.72,215.9,0
297.21,306.95,1477.7,49.07,186.5,0
298.9,307.05,1614.3,27.35,41.7,0
302.77,309.93,1323.0,45.01,228.3,1
301.47,310.99,1537.1,34.79,8.2,0
299.67,310.14,1420.2,47.4,31.9,0
301.26,310.85,1573.8,6.47,182.7,0
299.98,310.0,1434.0,73.18,94.7,0
302.04,312.61,1443.4,37.36,182.9,0
302.05,313.45,1512.9,32.49,2.1,0
297.86,306.46,1450.2,50.93,192.7,0
299.85,308.56,1367.9,52.63,39.8,0
298.12,306.81,1554.9,30.47,187.1,0
301.48,312.7,1533.4,27.9,205.1,0
306.48,316.83,1603.1,42.23,14.1,0
302.3,314.87,1420.2,59.62,221.6,1
302.61,313.49,1503.8,45.56,65.5,0
301.47,311.21,1342.0,44.5,42.7,0
301.57,313.05,1480.2,44.99,102.1,0
298.68,308.62,1477.9,18.21,191.8,0
305.27,314.4,1389.7,52.0,186.9,0
298.28,307.13,1713.0,48.8,104.8,0
298.75,309.74,1476.3,39.34,74.8,0
301.69,314.14,1333.7,50.12,35.4,0
300.47,312.25,1407.7,44.41,128.2,0
296.53,307.33,1305.3,50.68,187.7,0
298.3,308.55,1583.8,49.7,108.7,0
299.01,309.7,1534.1,35.69,141.3,0
299.51,309.04,1584.5,24.93,127.2,1
300.82,311.5,1642.6,47.57,58.5,0
302.66,314.36,1542.3,41.75,136.9,0
300.98,312.4,1489.3,34.6,158.9,0
300.11,310.66,1294.2,22.55,167.1,0
301.7,310.49,1412.9,30.18,192.8,1
296.68,306.15,1450.6,32.46,150.9,1
299.9,307.5,1390.8,27.92,64.4,0
302.73,310.19,1325.6,69.66,237.0,1
297.96,307.64,1577.7,37.63,181.8,0
301.3,309.85,1452.8,57.28,78.7,0
298.91,309.16,1418.2,36.25,86.9,0
296.45,305.89,1382.4,22.64,155.6,0
302.2,314.76,1448.5,46.58,119.0,0
300.7,311.95,1511.2,48.35,68.6,0
298.96,308.76,1381.7,22.79,167.1,0
303.8,313.52,1632.6,45.94,58.4,0
298.35,307.66,1395.1,11.6,144.6,0
297.29,307.03,1444.8,45.19,145.0,0
294.75,306.43,1507.9,26.6,36.8,0
299.84,312.4,1386.6,71.54,197.5,1
300.84,310.87,1734.8,43.51,151.2,0
301.47,310.72,1431.1,31.44,58.3,0
297.18,308.9,1693.6,30.48,42.8,0
297.7,307.02,1537.5,37.14,2.1,0
300.79,311.04,1501.8,25.74,211.5,0
299.97,309.74,1633.2,42.66,126.9,0
302.83,312.9,1591.5,65.46,142.7,0
301.69,313.19,1623.2,55.67,51.5,0
301.12,312.28,1585.8,48.79,179.6,0
302.67,313.66,1631.1,16.34,126.8,1
299.18,308.66,1511.8,33.2,197.3,0
300.7,309.69,1244.9,37.01,44.5,0
303.7,313.57,1338.6,44.66,168.2,1
301.61,312.45,1351.3,24.68,14.6,0
298.37,307.74,1685.1,47.72,218.5,0
298.92,310.09,1587.7,35.46,104.2,0
300.23,309.46,1533.6,31.58,14.0,0
296.74,305.56,1278.1,73.87,193.3,0
298.48,309.74,1444.2,42.44,157.3,0
301.23,310.14,1514.4,57.96,205.1,1
300.88,309.63,1307.5,50.75,164.6,0
300.2,309.29,1626.9,35.67,164.0,0
298.5,306.66,1561.4,27.34,13.8,0
297.64,308.41,1652.0,35.47,151.2,0
297.38,306.96,1456.2,36.06,31.1,0
298.07,307.54,1439.8,57.93,37.9,0
301.17,310.12,1502.1,46.15,66.4,0
297.07,306.58,1575.7,54.86,86.8,0
301.72,310.97,1675.8,35.97,129.0,1
301.12,312.4,1683.0,36.6,73.5,0
301.86,312.54,1275.6,28.04,5.9,0
298.02,308.72,1592.5,46.6,45.4,0
302.46,311.69,1622.2,32.07,70.7,0
298.41,307.13,1669.1,50.5,140.2,0
298.05,307.75,1535.1,54.34,126.6,0
300.78,310.97,1782.3,62.86,89.4,0
300.51,310.39,1458.2,36.73,120.4,0
299.37,308.01,1694.8,40.54,173.1,0
300.72,310.96,1491.3,26.99,193.6,0
299.91,309.72,1465.4,23.61,148.1,0
306.54,315.34,1306.1,21.01,64.9,0
303.39,311.55,1557.0,46.64,219.1,0
295.29,304.71,1532.8,34.25,59.7,0
307.06,318.4,1310.3,55.66,203.2,1
300.7,312.78,1424.9,41.69,83.7,1
303.67,313.69,1522.2,17.28,198.6,0
305.04,312.9,1542.0,59.87,247.0,1
302.0,315.11,1036.8,71.52,211.2,1
301.15,313.16,1465.6,27.98,96.0,0
300.16,310.48,1145.4,44.44,152.4,1
301.16,310.84,1409.0,24.61,104.6,0
300.6,310.01,1534.9,64.83,216.7,0
301.03,312.16,1675.5,45.5,82.5,0
298.3,305.22,1429.1,47.79,204.7,0
300.37,310.06,1522.6,30.1,83.3,0
299.25,307.7,1391.5,32.8,7.6,0
302.91,312.73,1738.4,54.14,188.0,1
299.26,308.99,1643.8,57.11,84.1,0
299.34,309.14,1512.0,45.33,14.6,0
295.94,307.98,1554.9,66.07,46.5,0
298.6,309.4,1508.4,36.32,9.7,0
300.94,311.39,1626.5,46.46,24.5,0
299.11,309.8,1462.4,36.59,92.4,0
301.13,311.06,1614.3,45.55,117.5,0
299.57,308.2,1581.3,62.47,109.4,0
302.38,312.0,1721.3,40.61,11.6,0
300.28,309.93,1376.9,45.71,11.0,0
298.25,310.66,1469.3,50.65,96.9,0
297.56,311.07,1430.2,68.26,200.3,1
302.41,311.43,1611.9,33.2,33.4,0
296.8,305.73,1414.8,28.9,41.0,0
303.09,314.46,1559.6,49.86,205.5,0
297.9,308.48,1504.1,30.62,107.7,0
296.8,305.71,1442.4,39.1,212.5,0
302.2,313.45,1560.2,11.06,91.6,1
298.62,308.98,1545.7,33.92,198.5,0
300.46,309.9,1537.3,52.84,58.9,0
298.43,309.89,1586.8,47.72,207.5,0
300.4,311.44,1393.8,57.82,152.4,1
302.21,311.96,1276.1,67.91,168.9,1
304.23,314.76,1388.7,22.1,88.5,0
302.34,312.51,1476.1,33.55,7.2,0
297.79,309.4,1490.6,45.17,114.5,0
297.97,306.52,1629.9,59.75,92.6,1
299.82,309.29,1479.1,68.27,26.4,0
303.33,315.41,1111.5,72.65,162.1,1
298.38,307.75,1408.5,52.44,13.0,0
299.27,307.76,1505.2,30.4,13.3,0
298.78,308.23,1572.2,55.0,136.4,0
